"pada";"bro1";"sp1"
"jitakrodhā jitendriyāḥ";1;2
"abhayaṃ sarvabhūtebhyaḥ";1;2
"tapasā bhāvitātmanā";1;1
"vāsāṃsi ca mahārhāṇi";1;4
"divyāny ābharaṇāni ca";1;3
"śubhāny ābharaṇāni ca";4;1
"raktamālyāmbaradharā";3;1
"vāsāṃsi vividhāni ca";1;1
"sarvabhūtahite rataḥ";6;10
"sarvaśāstraviśāradam";2;8
"devair api durāsadāḥ";1;8
"triṣu lokeṣu viśrutaḥ";3;6
"śreṣṭhaḥ sarvadhanuṣmatām";1;5
"viśrutā triṣu lokeṣu";1;4
"saṃgrāmeṣv anivartinaḥ";3;3
"pitus tulyaparākramaḥ";3;3
"śūrāś ca balavantaś ca";3;3
"māṃsaśoṇitabhojanāḥ";2;3
"padmapatranibhekṣaṇam";2;3
"sarvabhūtamanoharaḥ";2;3
"rūpeṇāpratimā bhuvi";1;3
"nirmitā viśvakarmaṇā";1;3
"siṃhavikrāntagāminam";3;2
"mahākāyā mahābalāḥ";2;2
"mahendrasamavikramaḥ";2;2
"dayāvān sarvabhūteṣu";1;2
"sattvavanto mahābalāḥ";1;2
"mahārhaśayanocitaḥ";1;2
"siṃhaskandho mahābhujaḥ";1;2
"sarvalokanamaskṛtaḥ";1;2
"mahābalaparākrama";1;2
"prāṇebhyo 'pi garīyasī";4;1
"samareṣv anivartinām";3;1
"śatayojanam āyatā";3;1
"kausalyānandavardhanaḥ";3;1
"pitṛtulyaparākramaḥ";2;1
"trāsanaṃ sarvabhūtānāṃ";2;1
"sarvabhūtanamaskṛtaḥ";2;1
"tan meruśikharākāraṃ";2;1
"yaśasā vikrameṇa ca";1;1
"avadhyāḥ sarvabhūtānāṃ";1;1
"tam apratimakarmāṇaṃ";1;1
"māṃ ca nityam anuvrataḥ";1;1
"vikrameṇa balena ca";1;1
"sarvalokasukhāvahaḥ";1;1
"siṃhaskandho mahādyutiḥ";1;1
"devatānāṃ bhayaṃkaram";1;1
"vṛṣabhākṣo nararṣabhaḥ";1;1
"uttamāstravidāṃ varaḥ";1;1
"mama prāṇaiḥ priyatamaḥ";1;1
"nṛtyagītaviśāradāḥ";1;1
"saṃyugeṣv aparājitaḥ";1;1
"bahutālasamutsedhāḥ";1;1
"śaraiḥ saṃnataparvabhiḥ";2;66
"tām āpatantīṃ sahasā";3;35
"śaravarṣair avākirat";3;28
"tiṣṭha tiṣṭheti cābravīt";1;26
