"";"formula";"formula";"variant";"epic";"versnr";"vers"
"1";2685;"jitakrodhā jitendriyāḥ";"jitakrodhā jitendriyāḥ";"Rm";"4,004.018a";"īdṛśā buddhisaṃpannā jitakrodhā jitendriyāḥ"
"2";1801;"abhayaṃ sarvabhūtebhyaḥ";"abhayaṃ sarvabhūtebhyo";"Rm";"6,012.020c";"abhayaṃ sarvabhūtebhyo dadāmy etad vrataṃ mama"
"3";2355;"tapasā bhāvitātmanā";"tapasā bhāvitātmanām";"Rm";"3,007.012c";"eṣāṃ tapasvināṃ vīra tapasā bhāvitātmanām"
"4";156;"vāsāṃsi ca mahārhāṇi";"vāsāṃsi ca mahārhāṇi";"Rm";"2,034.015a";"vāsāṃsi ca mahārhāṇi bhūṣaṇāni varāṇi ca"
"5";5701;"divyāny ābharaṇāni ca";"divyāny ābharaṇāni ca";"Rm";"5,018.009c";"vividhāni ca vāsāṃsi divyāny ābharaṇāni ca"
"6";4241;"śubhāny ābharaṇāni ca";"śubhāny ābharaṇāni ca";"Rm";"3,052.002c";"uttarīyaṃ varārohā śubhāny ābharaṇāni ca"
"7";4241;"śubhāny ābharaṇāni ca";"śubhāny ābharaṇāni ca";"Rm";"4,006.009c";"uttarīyaṃ tayā tyaktaṃ śubhāny ābharaṇāni ca"
"8";4241;"śubhāny ābharaṇāni ca";"śubhāny ābharaṇāni ca";"Rm";"4,006.013a";"uttarīyaṃ gṛhītvā tu śubhāny ābharaṇāni ca"
"9";4241;"śubhāny ābharaṇāni ca";"śubhāny ābharaṇāni ca";"Rm";"4,006.014a";"tato gṛhītvā tadvāsaḥ śubhāny ābharaṇāni ca"
"10";1348;"raktamālyāmbaradharā";"raktamālyāmbaradharas";"Rm";"5,020.025c";"raktamālyāmbaradharas taptāṅgadavibhūṣaṇaḥ"
"11";1348;"raktamālyāmbaradharā";"raktamālyāmbaradharaḥ";"Rm";"5,042.002a";"raktamālyāmbaradharaḥ sragvī rucirakuṇḍalaḥ"
"12";1348;"raktamālyāmbaradharā";"raktamālyāmbaradharaḥ";"Rm";"6,015.002c";"raktamālyāmbaradharaḥ padmapatranibhekṣaṇaḥ"
"13";2495;"vāsāṃsi vividhāni ca";"vāsāṃsi vividhāni ca";"Rm";"2,070.015a";"hiraṇyaṃ ca suvarṇaṃ ca vāsāṃsi vividhāni ca"
"14";313;"sarvabhūtahite rataḥ";"sarvabhūtahite rataḥ";"Rm";"2,109.007c";"sāntvayām āsa dharmajñaḥ sarvabhūtahite rataḥ"
"15";313;"sarvabhūtahite rataḥ";"sarvabhūtahite rataḥ";"Rm";"3,006.014a";"bhavān sarvatra kuśalaḥ sarvabhūtahite rataḥ"
"16";313;"sarvabhūtahite rataḥ";"sarvabhūtahite rataḥ";"Rm";"3,061.004a";"purā bhūtvā mṛdur dāntaḥ sarvabhūtahite rataḥ"
"17";313;"sarvabhūtahite rataḥ";"sarvabhūtahite rataḥ";"Rm";"6,016.016c";"abravīt prahasan vākyaṃ sarvabhūtahite rataḥ"
"18";313;"sarvabhūtahite rataḥ";"sarvabhūtahite ratam";"Rm";"3,037.008c";"tāpasaṃ niyatāhāraṃ sarvabhūtahite ratam"
"19";313;"sarvabhūtahite rataḥ";"sarvabhūtahite ratā";"Rm";"4,050.009c";"pratyuvāca hanūmantaṃ sarvabhūtahite ratā"
"20";16611;"sarvaśāstraviśāradam";"sarvaśāstraviśāradam";"Rm";"2,038.018a";"na hi tāvad guṇair juṣṭaṃ sarvaśāstraviśāradam"
"21";16611;"sarvaśāstraviśāradam";"sarvaśāstraviśāradaḥ";"Rm";"6,019.023c";"naye yuddhe ca kuśalaḥ sarvaśāstraviśāradaḥ"
"22";19421;"devair api durāsadāḥ";"devair api durāsadam";"Rm";"5,060.030c";"pitṛpaitāmahaṃ divyaṃ devair api durāsadam"
"23";1637;"triṣu lokeṣu viśrutaḥ";"triṣu lokeṣu viśrutaḥ";"Rm";"3,054.003a";"rāmo nāma sa dharmātmā triṣu lokeṣu viśrutaḥ"
"24";1637;"triṣu lokeṣu viśrutaḥ";"triṣu lokeṣu viśrutaḥ";"Rm";"6,017.019c";"buddhimān vānaraḥ śūras triṣu lokeṣu viśrutaḥ"
